60:33,2,1,2.2,13.7,2,07:30:44, 
60:33,3,1,3.7,18.0,2,07:30:44, 
108:48,1,1,0.0,74.6,11,07:30:52, 
108:48,2,1,-0.0,39.6,6,07:30:52, 
108:48,3,1,-0.0,53.7,8,07:30:52, 
128:42,1,1,0.9,11.3,2,07:30:53, 
128:42,2,1,2.6,29.3,4,07:30:53, 
89:14,1,1,-0.2,17.3,3,07:30:56, 
89:14,2,1,-0.5,9.9,2,07:30:56, 
89:14,3,1,-0.8,15.1,3,07:30:56, 
57:17,1,1,0.2,11.2,2,07:31:00, 
2:9,3,1,0.7,36.1,5,07:31:06, 
23:22,2,1,3.5,16.5,2,07:31:07, 
90:40,1,1,0.8,60.3,9,07:31:08, 
90:40,2,1,2.5,13.3,2,07:31:08, 
90:40,3,1,4.2,15.8,2,07:31:08, 
42:75,1,1,5.4,23.7,3,07:31:15, 
42:75,2,1,6.3,17.7,2,07:31:15, 
21:20,2,1,-0.1,16.7,3,07:31:21, 
78:23,1,1,0.6,117.7,17,07:31:24,*
55:78,1,1,4.2,20.5,2,07:31:24, 
78:23,2,1,1.8,106.3,15,07:31:24, 
89:14,3,1,-0.8,45.2,7,07:31:24, 
40:7,1,1,0.0,17.9,3,07:31:31, 
40:7,2,1,0.1,17.2,2,07:31:31, 
63:54,1,1,24.2,49.5,4,07:31:31, 
63:54,2,1,24.0,40.8,3,07:31:31, 
63:54,3,1,23.9,48.5,4,07:31:31, 
101:102,1,1,1.8,20.2,3,07:31:32, 
130:75,1,1,0.1,17.3,3,07:31:33, 
114:31,1,1,-0.3,21.4,3,07:31:34, 
111:12,1,1,-1.5,78.0,12,07:31:34, 
111:12,2,1,-4.4,71.1,12,07:31:34, 
111:12,3,1,-7.3,37.2,7,07:31:34, 
37:2,1,1,13.7,50.3,6,07:31:41, 
37:2,2,1,13.7,43.0,4,07:31:41, 
37:2,3,1,13.7,25.3,2,07:31:41, 
18:17,2,1,3.1,41.0,6,07:31:41, 
18:17,3,1,3.5,18.3,2,07:31:41, 
110:48,2,1,0.0,78.4,11,07:31:44,*
110:48,3,1,-0.0,38.5,6,07:31:44, 
124:42,3,1,16.3,91.5,12,07:31:45, 
124:42,4,1,15.1,95.1,11,07:31:45, 
14:37,1,1,-0.1,16.7,3,07:31:47, 
14:37,2,1,-0.3,20.9,4,07:31:47, 
87:37,1,1,-0.1,35.1,5,07:31:47, 
87:37,2,1,-0.4,10.1,2,07:31:47, 
27:6,1,1,0.1,17.0,3,07:31:50, 
27:6,2,1,0.3,10.7,2,07:31:50, 
142:33,1,1,-0.4,10.0,2,07:31:54, 
142:33,2,1,-1.2,9.2,2,07:31:54, 
79:82,1,1,-0.0,13.2,2,07:31:54, 
131:130,1,1,0.5,16.9,3,07:31:55, 
131:130,2,1,1.5,19.4,3,07:31:55, 
131:130,3,1,2.4,12.3,2,07:31:55, 
131:130,4,1,3.4,22.3,3,07:31:55, 
131:130,5,1,4.4,25.0,3,07:31:55, 
131:130,6,1,5.3,22.4,3,07:31:55, 
131:130,7,1,6.3,25.2,3,07:31:55, 
17:16,1,1,22.9,35.3,2,07:31:56, 
17:16,2,1,19.6,28.4,2,07:31:56, 
17:16,3,1,16.2,24.8,2,07:31:56, 
145:22,1,1,-0.0,22.4,3,07:31:57, 
145:22,3,1,-0.0,18.4,3,07:31:57, 
145:22,4,1,0.0,10.4,2,07:31:57, 
31:32,1,1,-0.7,142.4,21,07:31:58,*
72:31,1,1,1.1,127.5,17,07:31:58,*
31:32,2,1,-2.1,14.8,3,07:31:58, 
31:32,3,1,-3.4,7.0,2,07:31:58, 
87:20,1,1,-0.1,71.4,11,07:32:00, 
87:20,2,1,-0.2,55.1,9,07:32:00, 
87:20,3,1,-0.3,11.4,2,07:32:00, 
130:20,1,1,2.1,12.4,2,07:32:00, 
130:20,2,1,2.2,12.6,2,07:32:00, 
130:20,3,1,2.3,19.0,3,07:32:00, 
130:20,4,1,2.4,32.9,5,07:32:00, 
83:41,2,1,26.5,43.3,3,07:32:00, 
83:41,3,1,25.8,36.2,2,07:32:00, 
83:41,4,1,25.6,42.4,3,07:32:00, 
94:41,1,1,0.3,126.1,18,07:32:00, 
94:41,2,1,1.0,33.2,5,07:32:00, 
94:41,3,1,1.7,33.8,5,07:32:00, 
137:133,1,1,0.1,31.7,5,07:32:00, 
137:133,2,1,0.2,37.7,5,07:32:00, 
137:133,3,1,0.3,18.4,3,07:32:00, 
72:31,1,1,1.1,127.5,17,07:32:02,*
98:72,1,1,6.9,56.0,8,07:32:02, 
72:31,2,1,49.1,60.4,2,07:32:02, 
72:31,3,1,5.5,25.6,3,07:32:02, 
77:9,1,1,-0.4,10.0,2,07:32:03, 
77:9,2,1,-1.2,9.2,2,07:32:03, 
